metros_cuadrados,habitaciones,edad_propiedad,barrio,tiene_garaje,precio
89.9,2,9,Centro,no,166278.0
77.2,2,29,Oeste,no,109872.0
93.0,3,24,Norte,no,148215.0
110.5,3,38,Sur,si,141357.0
75.3,5,19,Centro,no,158770.0
75.3,5,4,Centro,no,159855.0
111.6,1,0,Sur,si,148115.0
95.3,1,29,Centro,si,160746.0
70.6,5,48,Oeste,no,132419.0
90.9,5,2,Oeste,si,182027.0
70.7,4,44,Oeste,no,95881.0
70.7,3,13,Oeste,no,117786.0
84.8,1,29,Centro,si,154226.0
41.7,3,49,Sur,no,44442.0
45.5,3,3,Sur,no,76760.0
68.8,5,17,Sur,no,119207.0
59.7,4,36,Sur,no,80791.0
86.3,2,24,Norte,si,153043.0
61.8,4,47,Sur,si,99451.0
51.8,4,0,Norte,no,126355.0
109.3,3,45,Norte,si,164785.0
75.5,4,14,Oeste,no,124225.0
81.4,1,8,Norte,no,130904.0
51.5,3,14,Centro,no,111072.0
69.1,1,48,Norte,no,106190.0
82.2,2,23,Oeste,no,108144.0
57.0,3,3,Norte,si,134147.0
87.5,2,11,Centro,no,158826.0
68.0,3,36,Centro,si,124416.0
74.2,5,36,Centro,si,148432.0
68.0,4,42,,no,90343.0
117.0,5,5,Oeste,no,205526.0
79.7,2,38,Sur,no,86121.0
58.8,4,45,Oeste,no,118642.0
96.5,3,23,Centro,no,158658.0
55.6,4,10,Centro,si,148566.0
84.2,1,12,Oeste,no,125461.0
40.8,4,33,Norte,no,112521.0
53.4,1,24,Oeste,si,102695.0
83.9,4,6,Oeste,si,169764.0
94.8,1,3,Centro,no,162501.0
83.4,2,7,Sur,si,132505.0
77.7,5,19,Centro,no,171524.0
74.0,3,28,Sur,si,109288.0
50.4,4,44,Centro,si,115298.0
65.6,5,45,Oeste,no,111186.0
70.8,3,9,Centro,si,153758.0
101.1,3,42,Centro,si,170788.0
86.9,1,33,Centro,si,149744.0
44.7,2,25,Oeste,si,90693.0
86.5,2,40,Oeste,si,124684.0
72.3,5,48,Oeste,si,147535.0
66.5,2,2,Oeste,no,92383.0
92.2,4,5,Sur,no,141203.0
100.6,2,4,,si,141552.0
98.6,5,4,Norte,no,167655.0
63.2,2,46,Oeste,no,77013.0
73.8,4,22,Sur,no,111343.0
86.6,1,48,Centro,si,150054.0
99.5,5,8,Oeste,no,176708.0
70.4,1,34,Norte,si,102238.0
76.3,1,19,Norte,no,130601.0
57.9,1,48,Norte,si,102690.0
56.1,3,41,,si,127641.0
96.3,3,34,Sur,no,121295.0
107.1,1,49,Centro,no,134426.0
78.6,5,17,Oeste,si,152098.0
100.1,4,16,Norte,no,183007.0
87.2,4,23,Centro,no,181986.0
67.1,2,2,Centro,no,144952.0
87.2,5,31,Sur,si,144252.0
110.8,3,34,,si,144764.0
,1,37,Norte,no,108069.0
111.3,2,12,Centro,no,159876.0
27.6,4,46,Centro,no,83352.0
96.4,3,24,Sur,si,142204.0
81.7,3,8,Centro,si,164380.0
74.0,1,3,Centro,no,111353.0
81.8,4,13,Centro,no,166796.0
,5,36,Sur,no,69913.0
75.6,3,33,Norte,no,112521.0
87.1,1,10,Oeste,no,85797.0
109.6,5,40,Norte,no,181245.0
69.6,4,2,Oeste,si,160243.0
63.8,3,27,Centro,no,139673.0
70.0,5,28,Norte,si,150429.0
98.3,5,8,,no,162938.0
86.6,5,2,Sur,no,152608.0
69.4,3,24,Sur,si,101296.0
90.3,3,33,Norte,si,159878.0
,2,11,Norte,si,155441.0
99.4,4,41,Centro,si,196049.0
66.0,1,8,Norte,no,104198.0
73.4,5,14,Centro,si,174043.0
72.2,2,39,Centro,no,108360.0
50.7,1,24,Sur,si,60571.0
85.9,2,4,Sur,no,113815.0
85.2,3,10,Oeste,no,135914.0
80.1,5,33,Sur,no,133756.0
75.3,1,23,Sur,no,75828.0
51.7,1,14,,no,99967.0
71.6,1,37,Sur,no,69709.0
73.1,1,7,Oeste,si,114006.0
64.0,1,4,Norte,no,97328.0
76.8,2,47,Oeste,si,84418.0
88.1,5,25,Sur,si,162060.0
117.7,3,17,Oeste,no,175108.0
83.5,3,5,Norte,si,159887.0
85.2,3,36,Centro,no,144910.0
78.5,3,47,Oeste,si,125859.0
41.6,2,12,Oeste,no,53295.0
79.5,4,27,Norte,si,151609.0
81.2,5,4,Norte,no,173383.0
129.3,1,12,Oeste,no,151617.0
76.2,4,16,,no,121376.0
86.0,3,49,Oeste,no,100134.0
79.3,4,39,Norte,si,155324.0
56.6,5,44,Centro,no,125564.0
102.9,1,31,Centro,si,146829.0
95.0,1,28,Sur,si,131647.0
95.8,5,2,Oeste,si,176614.0
61.8,5,39,Centro,no,126557.0
108.1,3,33,Oeste,si,165226.0
52.0,1,39,Norte,si,99386.0
91.7,4,26,,si,171882.0
123.8,2,12,Sur,no,158177.0
60.2,2,44,Norte,no,94528.0
68.7,5,32,Sur,si,133371.0
82.0,3,5,Norte,no,147664.0
69.9,2,23,Centro,no,118710.0
49.0,1,18,Sur,si,61524.0
81.4,5,15,Sur,si,151041.0
58.8,4,39,Norte,no,100339.0
89.5,5,27,Sur,si,124686.0
61.6,4,32,Norte,no,122286.0
111.0,5,47,Norte,no,188739.0
64.3,5,40,Norte,no,103531.0
73.6,5,12,Norte,no,142223.0
96.3,4,42,Centro,no,170752.0
55.4,4,44,Norte,no,125055.0
84.5,5,24,Oeste,si,159608.0
106.1,2,41,Sur,si,129540.0
47.9,3,35,Oeste,no,73151.0
83.7,3,26,,no,161189.0
85.2,3,37,,no,112280.0
95.6,4,6,Sur,si,153728.0
55.3,4,4,Oeste,no,104533.0
53.6,2,42,Centro,si,98787.0
90.4,3,44,Norte,no,137707.0
85.9,3,30,Oeste,no,139327.0
85.0,5,22,Centro,si,189231.0
86.9,4,41,Centro,si,166256.0
66.4,3,9,Sur,no,97262.0
84.6,2,31,Sur,no,85388.0
85.9,2,42,Oeste,no,115911.0
65.7,3,29,Norte,si,128562.0
117.3,4,38,Centro,si,204955.0
89.5,2,30,Oeste,si,164331.0
56.2,5,17,Centro,si,156928.0
93.1,2,35,Centro,si,151702.0
60.5,1,1,Norte,si,112836.0
95.7,1,13,Norte,no,149824.0
103.2,4,12,Oeste,no,163973.0
63.6,3,28,Norte,si,112937.0
99.3,4,11,Norte,no,182852.0
88.3,4,38,Oeste,no,125279.0
96.4,4,1,Norte,si,208913.0
117.9,4,31,Sur,no,171780.0
75.1,5,12,Centro,si,174647.0
64.9,5,45,Centro,si,163190.0
62.2,2,26,Centro,no,112319.0
63.7,1,48,Centro,si,115968.0
78.5,4,40,Oeste,si,139047.0
86.8,2,16,Centro,si,152696.0
85.5,1,39,Centro,si,131665.0
96.5,3,30,Centro,si,186100.0
80.3,5,33,Centro,si,171512.0
109.1,1,23,Sur,si,135384.0
74.7,3,44,Centro,si,133089.0
134.4,1,34,Sur,no,153516.0
92.5,5,47,Oeste,no,163125.0
62.9,5,5,Norte,no,132305.0
58.6,2,18,Centro,si,126562.0
89.6,4,29,Norte,si,182142.0
75.5,1,6,Norte,no,116804.0
94.3,1,9,,no,128184.0
89.5,3,40,Norte,no,126776.0
78.5,5,31,Sur,si,142983.0
63.1,1,33,Norte,no,87349.0
49.7,5,27,Norte,no,125997.0
71.1,1,14,Norte,si,135194.0
97.1,2,29,Centro,no,177916.0
84.3,4,36,Centro,si,173956.0
55.1,1,28,Sur,si,75378.0
83.5,5,21,Sur,si,151644.0
87.7,2,3,Centro,no,150208.0
62.3,1,19,Sur,no,73645.0
83.1,3,31,Centro,si,156266.0
81.2,4,35,Oeste,no,126625.0
57.1,1,49,Norte,no,87196.0
87.2,2,3,Norte,no,133075.0
91.2,3,26,Sur,no,132839.0
101.7,2,16,Centro,si,192211.0
101.1,2,11,Centro,no,164639.0
52.4,3,21,Sur,si,71161.0
61.2,2,16,Centro,si,124362.0
90.3,3,9,Oeste,no,151830.0
90.3,1,0,Norte,si,153131.0
90.3,3,21,Sur,no,112867.0
157.1,3,25,Sur,no,195972.0
91.4,4,17,Centro,si,194586.0
102.7,3,49,Sur,si,144207.0
99.1,3,13,Oeste,si,160031.0
93.0,1,46,Centro,si,139932.0
73.7,4,28,Centro,no,140522.0
95.2,5,11,Centro,no,179516.0
64.5,1,35,Centro,no,116054.0
75.3,1,34,Oeste,si,100137.0
70.3,5,11,Centro,si,186032.0
81.6,3,6,Sur,si,150133.0
126.3,2,28,Oeste,no,172543.0
42.7,4,10,Norte,si,116924.0
93.7,2,32,Norte,no,140477.0
,5,5,Sur,si,114498.0
70.6,1,46,Sur,no,57683.0
101.8,1,14,Oeste,no,133404.0
81.3,4,31,Norte,si,145270.0
58.4,1,10,Norte,si,121957.0
65.7,1,22,Norte,no,93194.0
93.6,4,25,Norte,no,161832.0
65.4,4,33,Norte,si,139813.0
84.3,5,45,Centro,si,171071.0
80.9,1,33,Sur,no,91447.0
67.0,1,28,Centro,si,116651.0
122.9,5,3,Norte,no,224693.0
92.7,3,16,Oeste,no,124780.0
39.5,3,34,Oeste,si,81664.0
83.7,3,12,Norte,si,178829.0
66.8,5,40,Norte,si,135157.0
97.0,1,38,Oeste,si,120623.0
64.1,5,14,Centro,si,170059.0
77.7,5,28,Centro,no,161036.0
90.1,3,28,Norte,no,147626.0
97.3,2,10,Centro,si,181652.0
56.0,1,31,Oeste,si,88047.0
73.3,3,1,Centro,si,173557.0
70.5,2,46,Norte,no,105698.0
66.9,2,13,Oeste,si,111367.0
115.3,4,19,Centro,si,220586.0
88.1,1,21,Sur,no,119219.0
54.8,2,10,Oeste,no,84434.0
98.4,3,26,Oeste,si,145335.0
122.4,4,2,Sur,si,206951.0
100.6,1,16,Sur,si,131516.0
49.6,5,43,Oeste,no,71293.0
70.3,3,27,Sur,si,119334.0
105.3,2,28,Norte,si,162007.0
65.8,2,20,Norte,si,123055.0
88.9,3,46,Norte,no,137000.0
95.5,2,15,Oeste,no,134005.0
61.5,4,36,Sur,si,112895.0
78.8,1,19,Sur,si,100705.0
,4,5,Centro,no,90871.0
59.5,2,18,Centro,no,109805.0
74.9,5,4,,no,140268.0
55.0,1,2,Sur,no,76154.0
112.6,1,0,Sur,no,130766.0
